catalog_id,initial,name,class,subtype,ecosystem_or_vendor,primary_use,deployment_or_interface,scope_note,headline_metric,headline_value_pct,headline_scope,country_breakdown_status,gender_breakdown_status,notes,source_url
182,R,Rspack,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
183,R,RubyGems,Package management,Ruby package/build tooling,Ruby,"Dependencies, gems and tasks",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
184,R,RubyGems.org,Package management,Ruby package/build tooling,Ruby,"Dependencies, gems and tasks",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
185,R,Rush,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
186,R,rustc build driver,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
187,R,rustup,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
188,R,Rye,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
189,S,sbt,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
190,S,SCons,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
191,S,Scoop,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
192,S,Setuptools,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
193,S,Shake,Build & package management,Haskell package/build tooling,Haskell,Packages and builds,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
194,S,Sinopia,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
195,S,Snap,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
196,S,Snowpack,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
197,S,Spack,Package management,C/C++/HPC dependency tooling,C / C++ / HPC,Native dependency/package management,CLI / registries,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
198,S,Stack,Build & package management,Haskell package/build tooling,Haskell,Packages and builds,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
199,S,SWC,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
200,S,Swift Package Manager,Build & package management,Apple ecosystem package/build tooling,Swift / Objective-C,Dependencies and Apple platform builds,CLI / IDE,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
201,S,Symfony Flex,Package management,PHP package tooling,PHP,Dependencies and package distribution,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
202,T,Task,Build & package management,Go module/build tooling,Go,"Modules, builds, releases and task automation",CLI / proxy,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
203,T,Trunk,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
204,T,tsc CLI,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,State of JS 2025 build-tool usage,52.7,State of JS respondents who answered item,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
205,T,tsup,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
206,T,Tuist,Build & package management,Apple ecosystem package/build tooling,Swift / Objective-C,Dependencies and Apple platform builds,CLI / IDE,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
207,T,Tup,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
208,T,Turbopack,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
209,T,Turborepo,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
210,T,Twine,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
211,U,unbuild,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
212,U,uv,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
213,V,vcpkg,Package management,C/C++/HPC dependency tooling,C / C++ / HPC,Native dependency/package management,CLI / registries,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
214,V,venv,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
215,V,Verdaccio,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
216,V,virtualenv,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
217,V,Vite,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,State of JS 2025 build-tool usage,84.4,State of JS respondents who answered item,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
218,V,Volta,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
219,W,Waf,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
220,W,wasm-pack,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
221,W,webpack,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,State of JS 2025 build-tool usage,86.4,State of JS respondents who answered item,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
222,W,Winget,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
223,W,WMR,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
224,X,Xcode Build System,Build & package management,Apple ecosystem package/build tooling,Swift / Objective-C,Dependencies and Apple platform builds,CLI / IDE,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
225,X,xcodebuild,Build & package management,Apple ecosystem package/build tooling,Swift / Objective-C,Dependencies and Apple platform builds,CLI / IDE,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
226,X,xmake,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
227,Y,Yarn Berry,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
228,Y,Yarn Classic,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
229,Y,YUM,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
